schengen_state,origin_country,origin_consulate,visas_applied,visas_issued,visas_not_issued,visa_refusal_rate,year
Austria,VIETNAM,HANOI,1106.0,931.0,157.0,0.1443014705882352,2022
Belgium,ALBANIA,TIRANA,0.0,0.0,0.0,,2022
Belgium,ALGERIA,ALGIERS,6005.0,3078.0,2503.0,0.4484859344203548,2022
Belgium,ANGOLA,LUANDA,1353.0,670.0,581.0,0.4644284572342126,2022
Belgium,ARGENTINA,BUENOS AIRES,10.0,7.0,1.0,0.125,2022
Belgium,AUSTRALIA,CANBERRA,248.0,226.0,2.0,0.0087719298245614,2022
Belgium,AUSTRIA,VIENNA,1.0,1.0,0.0,0.0,2022
Belgium,BELGIUM,BRUSSELS,35.0,32.0,0.0,0.0,2022
Belgium,BRAZIL,SAO PAULO,44.0,29.0,11.0,0.275,2022
Belgium,BULGARIA,SOFIA,163.0,132.0,18.0,0.12,2022
Belgium,BURKINA FASO,OUAGADOUGOU,2247.0,1695.0,373.0,0.1803675048355899,2022
Belgium,BURUNDI,BUJUMBURA,3046.0,1846.0,1094.0,0.3721088435374149,2022
Belgium,CAMEROON,YAONDE,5098.0,2532.0,2263.0,0.4719499478623566,2022
Belgium,CANADA,MONTREAL,934.0,771.0,74.0,0.0875739644970414,2022
Belgium,CHILE,SANTIAGO DE CHILE,25.0,23.0,1.0,0.0416666666666666,2022
Belgium,CHINA,BEIJING,2519.0,2279.0,80.0,0.0339126748622297,2022
Belgium,CHINA,GUANGZHOU (CANTON),139.0,129.0,4.0,0.0300751879699248,2022
Belgium,CHINA,SHANGHAI,117.0,105.0,1.0,0.0094339622641509,2022
Belgium,COLOMBIA,BOGOTA,30.0,28.0,1.0,0.0344827586206896,2022
Belgium,CONGO (DEMOCRATIC REPUBLIC),KINSHASA,23713.0,14987.0,8150.0,0.3522496434282751,2022
Belgium,CONGO (DEMOCRATIC REPUBLIC),LUBUMBASHI,2293.0,1795.0,424.0,0.1910770617395223,2022
Belgium,COTE D'IVOIRE,ABIDJAN,2601.0,1471.0,958.0,0.3944009880609304,2022
Belgium,CROATIA,ZAGREB,29.0,17.0,9.0,0.3461538461538461,2022
Belgium,CUBA,HAVANA,1513.0,855.0,516.0,0.3763676148796498,2022
Belgium,EGYPT,CAIRO,3193.0,2076.0,980.0,0.3206806282722513,2022
Belgium,ETHIOPIA,ADDIS ABEBA,1480.0,883.0,544.0,0.3812193412754029,2022
Belgium,FINLAND,HELSINKI,1.0,1.0,0.0,0.0,2022
Belgium,FRANCE,PARIS,3.0,2.0,1.0,0.3333333333333333,2022
Belgium,GERMANY,BERLIN,2.0,2.0,0.0,0.0,2022
Belgium,GREECE,ATHENS,3.0,3.0,0.0,0.0,2022
Belgium,HONG KONG S.A.R.,HONG KONG,433.0,385.0,15.0,0.0375,2022
Belgium,HUNGARY,BUDAPEST,2.0,2.0,0.0,0.0,2022
Belgium,INDIA,MUMBAI,13643.0,11159.0,2207.0,0.1651204548855304,2022
Belgium,INDIA,NEW DELHI,4824.0,4143.0,577.0,0.1222457627118644,2022
Belgium,INDONESIA,JAKARTA,402.0,375.0,18.0,0.0458015267175572,2022
Belgium,IRAN,TEHERAN,1388.0,851.0,283.0,0.2495590828924162,2022
Belgium,IRELAND,DUBLIN,828.0,800.0,5.0,0.0062111801242236,2022
Belgium,ISRAEL,JERUSALEM,545.0,380.0,139.0,0.2678227360308285,2022
Belgium,ISRAEL,TEL AVIV,80.0,60.0,15.0,0.2,2022
Belgium,ITALY,ROME,8.0,6.0,0.0,0.0,2022
Belgium,JAMAICA,KINGSTON,725.0,493.0,93.0,0.1587030716723549,2022
Belgium,JAPAN,TOKYO,176.0,160.0,11.0,0.0643274853801169,2022
Belgium,JORDAN,AMMAN,1891.0,796.0,1005.0,0.558023320377568,2022
Belgium,KENYA,NAIROBI,1309.0,961.0,275.0,0.2224919093851132,2022
Belgium,KUWAIT,KUWAIT,2770.0,2397.0,354.0,0.128680479825518,2022
Belgium,LEBANON,BEIRUT,2017.0,1078.0,845.0,0.4394175767030681,2022
Belgium,MALAYSIA,KUALA LUMPUR,102.0,81.0,9.0,0.1,2022
Belgium,MEXICO,MEXICO CITY,33.0,29.0,0.0,0.0,2022
Belgium,MOROCCO,CASABLANCA,10.0,1.0,0.0,0.0,2022
Belgium,MOROCCO,RABAT,11686.0,6374.0,3847.0,0.3763819587124547,2022
Belgium,NETHERLANDS,THE HAGUE,8.0,8.0,1.0,0.1111111111111111,2022
Belgium,NIGERIA,ABUJA,4582.0,1341.0,2965.0,0.6885740826753367,2022
Belgium,PAKISTAN,ISLAMABAD,2699.0,1045.0,1421.0,0.5762368207623683,2022
Belgium,PANAMA,PANAMA CITY,16.0,12.0,2.0,0.1428571428571428,2022
Belgium,PERU,LIMA,49.0,37.0,5.0,0.119047619047619,2022
Belgium,PHILIPPINES,MANILA,7179.0,6477.0,492.0,0.0705983641842445,2022
Belgium,POLAND,WARSAW,20.0,14.0,2.0,0.125,2022
Belgium,PORTUGAL,LISBON,10.0,5.0,5.0,0.5,2022
Belgium,QATAR,DOHA,1175.0,956.0,178.0,0.1569664902998236,2022
Belgium,ROMANIA,BUCHAREST,187.0,165.0,12.0,0.0677966101694915,2022
Belgium,RUSSIAN FEDERATION,MOSCOW,1972.0,1622.0,278.0,0.1463157894736842,2022
Belgium,RWANDA,KIGALI,9751.0,7006.0,2572.0,0.2685320526205888,2022
Belgium,SAUDI ARABIA,RIYADH,2789.0,2538.0,188.0,0.0689655172413793,2022
Belgium,SENEGAL,DAKAR,5009.0,1283.0,3409.0,0.7265558397271952,2022
Belgium,SERBIA,BELGRADE,82.0,39.0,30.0,0.4347826086956521,2022
Belgium,SINGAPORE,SINGAPORE,537.0,502.0,4.0,0.0079051383399209,2022
Belgium,SOUTH AFRICA,CAPE TOWN,1771.0,1714.0,26.0,0.0149425287356321,2022
Belgium,SOUTH AFRICA,PRETORIA,3121.0,2723.0,173.0,0.0597375690607734,2022
Belgium,SOUTH KOREA,SEOUL,144.0,102.0,24.0,0.1904761904761904,2022
Belgium,SPAIN,MADRID,7.0,3.0,2.0,0.4,2022
Belgium,SWITZERLAND,BERN,2.0,2.0,0.0,0.0,2022
Belgium,TAIWAN,TAIPEI,19.0,19.0,0.0,0.0,2022
Belgium,TANZANIA,DAR ES SALAAM,1071.0,778.0,209.0,0.2117527862208713,2022
Belgium,THAILAND,BANGKOK,3647.0,3026.0,510.0,0.1442307692307692,2022
Belgium,TUNISIA,TUNIS,3472.0,1893.0,1286.0,0.4045297263290343,2022
Belgium,TÜRKIYE,ANKARA,1.0,0.0,0.0,,2022
Belgium,TÜRKIYE,ISTANBUL,7211.0,4230.0,2566.0,0.3775750441436138,2022
Belgium,UGANDA,KAMPALA,1135.0,829.0,277.0,0.2504520795660036,2022
Belgium,UKRAINE,KYIV,28.0,11.0,13.0,0.5416666666666666,2022
Belgium,UNITED ARAB EMIRATES,ABU DHABI,4232.0,3502.0,673.0,0.1611976047904191,2022
Belgium,UNITED KINGDOM,LONDON,6069.0,5011.0,796.0,0.1370759428276218,2022
Belgium,USA,"ATLANTA, GA",435.0,401.0,7.0,0.017156862745098,2022
Belgium,USA,"LOS ANGELES, CA",557.0,489.0,23.0,0.044921875,2022
Belgium,USA,"NEW YORK, NY",1168.0,1014.0,48.0,0.0451977401129943,2022
Belgium,USA,"WASHINGTON, DC",665.0,605.0,23.0,0.036624203821656,2022
Belgium,VIETNAM,HANOI,1429.0,1319.0,62.0,0.0448950036205648,2022
Czech Republic,ALBANIA,TIRANA,16.0,8.0,7.0,0.4666666666666667,2022
Czech Republic,ALGERIA,ALGIERS,478.0,262.0,215.0,0.450733752620545,2022
Czech Republic,ARGENTINA,BUENOS AIRES,5.0,3.0,2.0,0.4,2022
Czech Republic,ARMENIA,YEREVAN,2317.0,1963.0,353.0,0.1524179620034542,2022
Czech Republic,AUSTRALIA,SYDNEY,117.0,116.0,1.0,0.0085470085470085,2022
Czech Republic,AUSTRIA,VIENNA,11.0,7.0,0.0,0.0,2022
Czech Republic,AZERBAIJAN,BAKU,2985.0,2760.0,224.0,0.0750670241286863,2022
Czech Republic,BELARUS,MINSK,1034.0,1028.0,6.0,0.0058027079303675,2022
Czech Republic,BOSNIA AND HERZEGOVINA,SARAJEVO,36.0,36.0,0.0,0.0,2022
Czech Republic,BRAZIL,BRASILIA,2.0,0.0,2.0,1.0,2022
Czech Republic,BRAZIL,SAO PAULO,9.0,6.0,3.0,0.3333333333333333,2022
Czech Republic,BULGARIA,SOFIA,98.0,92.0,6.0,0.0612244897959183,2022
Czech Republic,CANADA,OTTAWA,67.0,66.0,1.0,0.0149253731343283,2022
Czech Republic,CANADA,TORONTO,272.0,268.0,3.0,0.011070110701107,2022
Czech Republic,CHILE,SANTIAGO DE CHILE,27.0,26.0,1.0,0.037037037037037,2022
Czech Republic,CHINA,BEIJING,587.0,539.0,48.0,0.0817717206132879,2022
Czech Republic,CHINA,CHENGDU,34.0,25.0,9.0,0.2647058823529412,2022
Czech Republic,CHINA,SHANGHAI,302.0,229.0,73.0,0.2417218543046357,2022
Czech Republic,COLOMBIA,BOGOTA,7.0,5.0,2.0,0.2857142857142857,2022
Czech Republic,CROATIA,ZAGREB,24.0,24.0,0.0,0.0,2022
Czech Republic,CUBA,HAVANA,259.0,185.0,74.0,0.2857142857142857,2022
Czech Republic,EGYPT,CAIRO,1310.0,883.0,426.0,0.3254392666157372,2022
Czech Republic,ETHIOPIA,ADDIS ABEBA,362.0,190.0,172.0,0.4751381215469613,2022
Czech Republic,GEORGIA,TBILISSI,154.0,97.0,55.0,0.3618421052631579,2022
Czech Republic,GERMANY,BERLIN,2.0,2.0,0.0,0.0,2022
Czech Republic,GHANA,ACCRA,454.0,151.0,302.0,0.6666666666666666,2022
Czech Republic,HONG KONG S.A.R.,HONG KONG,64.0,62.0,2.0,0.03125,2022
Czech Republic,INDIA,NEW DELHI,5396.0,3455.0,1840.0,0.3474976392823418,2022
Czech Republic,INDONESIA,JAKARTA,1018.0,960.0,58.0,0.0569744597249508,2022
Czech Republic,IRAN,TEHERAN,2155.0,1585.0,570.0,0.2645011600928074,2022
Czech Republic,IRAQ,BAGHDAD,222.0,200.0,0.0,0.0,2022
Czech Republic,IRAQ,ERBIL,908.0,344.0,514.0,0.5990675990675991,2022
Czech Republic,IRELAND,DUBLIN,271.0,269.0,2.0,0.007380073800738,2022
Czech Republic,ISRAEL,TEL AVIV,223.0,207.0,16.0,0.0717488789237668,2022
Czech Republic,JAPAN,TOKYO,137.0,137.0,0.0,0.0,2022
Czech Republic,JORDAN,AMMAN,1700.0,915.0,771.0,0.4572953736654804,2022
Czech Republic,KAZAKHSTAN,ASTANA,7441.0,6353.0,1088.0,0.1462169063297944,2022
Czech Republic,KENYA,NAIROBI,468.0,421.0,46.0,0.0985010706638115,2022
Czech Republic,KUWAIT,KUWAIT,5924.0,5396.0,528.0,0.0891289669142471,2022
Czech Republic,LEBANON,BEIRUT,937.0,704.0,219.0,0.2372697724810401,2022
Czech Republic,MALAYSIA,KUALA LUMPUR,80.0,42.0,38.0,0.475,2022
Czech Republic,MEXICO,MEXICO CITY,38.0,38.0,0.0,0.0,2022
Czech Republic,MOLDOVA,CHISINAU,749.0,716.0,33.0,0.0440587449933244,2022
Czech Republic,MONGOLIA,ULAN BATOR,2777.0,2053.0,724.0,0.2607129996398992,2022
Czech Republic,MOROCCO,RABAT,490.0,344.0,146.0,0.2979591836734694,2022
Czech Republic,NIGERIA,ABUJA,424.0,270.0,154.0,0.3632075471698113,2022
Czech Republic,NORTH MACEDONIA,SKOPJE,889.0,93.0,110.0,0.541871921182266,2022
Czech Republic,PAKISTAN,ISLAMABAD,620.0,425.0,195.0,0.314516129032258,2022
Czech Republic,PERU,LIMA,21.0,21.0,0.0,0.0,2022
Czech Republic,PHILIPPINES,MANILA,1196.0,1176.0,20.0,0.0167224080267558,2022
Czech Republic,QATAR,DOHA,1.0,1.0,0.0,0.0,2022
Czech Republic,ROMANIA,BUCHAREST,148.0,124.0,16.0,0.1142857142857142,2022
Czech Republic,RUSSIAN FEDERATION,MOSCOW,636.0,575.0,61.0,0.0959119496855346,2022
Czech Republic,RUSSIAN FEDERATION,ST. PETERSBURG,24.0,18.0,6.0,0.25,2022
Czech Republic,RUSSIAN FEDERATION,YEKATERINBURG,38.0,30.0,8.0,0.2105263157894736,2022
Czech Republic,SAUDI ARABIA,RIYADH,11651.0,10662.0,983.0,0.0844139115500214,2022
Czech Republic,SENEGAL,DAKAR,124.0,95.0,29.0,0.2338709677419354,2022
Czech Republic,SERBIA,BELGRADE,383.0,379.0,4.0,0.010443864229765,2022
Czech Republic,SINGAPORE,SINGAPORE,181.0,168.0,13.0,0.0718232044198895,2022
Czech Republic,SLOVAKIA,BRATISLAVA,1.0,1.0,0.0,0.0,2022
Czech Republic,SOUTH AFRICA,PRETORIA,1869.0,1683.0,186.0,0.0995184590690208,2022
Czech Republic,SOUTH KOREA,SEOUL,68.0,64.0,4.0,0.0588235294117647,2022
Czech Republic,SYRIA,DAMASCUS,170.0,120.0,0.0,0.0,2022
Czech Republic,TAIWAN,TAIPEI,25.0,21.0,4.0,0.16,2022
Czech Republic,THAILAND,BANGKOK,1972.0,1870.0,102.0,0.0517241379310344,2022
Czech Republic,TUNISIA,TUNIS,707.0,374.0,330.0,0.46875,2022
Czech Republic,TÜRKIYE,ANKARA,2707.0,1959.0,748.0,0.2763206501662357,2022
Czech Republic,TÜRKIYE,ISTANBUL,5668.0,4888.0,777.0,0.1371579876434245,2022
Czech Republic,UKRAINE,KYIV,12741.0,12454.0,287.0,0.0225257044188054,2022
Czech Republic,UKRAINE,LVIV,14455.0,14281.0,174.0,0.0120373573158076,2022
Czech Republic,UNITED ARAB EMIRATES,ABU DHABI,8370.0,5445.0,2880.0,0.3459459459459459,2022
Czech Republic,UNITED KINGDOM,LONDON,3035.0,3026.0,9.0,0.0029654036243822,2022
Czech Republic,USA,"CHICAGO, IL",237.0,232.0,1.0,0.0042918454935622,2022
Czech Republic,USA,"LOS ANGELES, CA",249.0,237.0,12.0,0.0481927710843373,2022
Czech Republic,USA,"NEW YORK, NY",342.0,321.0,21.0,0.0614035087719298,2022
Czech Republic,USA,"WASHINGTON, DC",214.0,212.0,0.0,0.0,2022
Czech Republic,UZBEKISTAN,TASHKENT,4749.0,3754.0,993.0,0.2091847482620602,2022
Czech Republic,VIETNAM,HANOI,1550.0,1329.0,221.0,0.1425806451612903,2022
Czech Republic,ZAMBIA,LUSAKA,192.0,179.0,13.0,0.0677083333333333,2022
Denmark,AUSTRIA,VIENNA,3.0,2.0,1.0,0.3333333333333333,2022
Denmark,BANGLADESH,DHAKA,1477.0,1114.0,333.0,0.2301313061506565,2022
Denmark,BELGIUM,BRUSSELS,6.0,8.0,0.0,0.0,2022
Denmark,BURKINA FASO,OUAGADOUGOU,161.0,124.0,23.0,0.1564625850340136,2022
Denmark,CHINA,BEIJING,60.0,56.0,3.0,0.0508474576271186,2022
Denmark,CHINA,GUANGZHOU (CANTON),1892.0,1506.0,240.0,0.1374570446735395,2022
Denmark,CHINA,SHANGHAI,6.0,6.0,0.0,0.0,2022
Denmark,DENMARK,COPENHAGEN,1391.0,1328.0,1.0,0.000752445447705,2022
Denmark,EGYPT,CAIRO,1560.0,1170.0,361.0,0.2357935989549314,2022
Denmark,FRANCE,PARIS,11.0,7.0,1.0,0.125,2022
Denmark,GERMANY,BERLIN,3.0,3.0,0.0,0.0,2022
Denmark,GERMANY,FLENSBURG,2.0,2.0,1.0,0.3333333333333333,2022
Denmark,GHANA,ACCRA,2068.0,939.0,950.0,0.5029115934356803,2022
Denmark,GREECE,ATHENS,2.0,1.0,0.0,0.0,2022
Denmark,ICELAND,REYKJAVIK,42.0,42.0,0.0,0.0,2022
Denmark,INDIA,NEW DELHI,8033.0,5941.0,1446.0,0.1957492892919994,2022
Denmark,INDONESIA,JAKARTA,4072.0,3777.0,176.0,0.0445231469769795,2022
Denmark,IRAN,TEHERAN,1760.0,1364.0,358.0,0.2078977932636469,2022
Denmark,KENYA,NAIROBI,3019.0,1717.0,861.0,0.3339798293250582,2022
Denmark,LEBANON,BEIRUT,1036.0,484.0,492.0,0.5040983606557377,2022
Denmark,MALI,BAMAKO,363.0,196.0,155.0,0.4415954415954416,2022
Denmark,MEXICO,MEXICO CITY,63.0,53.0,4.0,0.0701754385964912,2022
Denmark,NETHERLANDS,THE HAGUE,8.0,8.0,0.0,0.0,2022
Denmark,NIGERIA,ABUJA,1745.0,588.0,1113.0,0.654320987654321,2022
Denmark,NORWAY,OSLO,3.0,3.0,0.0,0.0,2022
Denmark,PAKISTAN,ISLAMABAD,2580.0,1066.0,1415.0,0.5703345425231762,2022
Denmark,PHILIPPINES,MANILA,4197.0,3686.0,440.0,0.1066408143480368,2022
Denmark,POLAND,WARSAW,9.0,1.0,2.0,0.6666666666666666,2022
Denmark,RUSSIAN FEDERATION,MOSCOW,1170.0,884.0,249.0,0.2197705207413945,2022
Denmark,SAUDI ARABIA,RIYADH,1383.0,1206.0,129.0,0.096629213483146,2022
Denmark,SINGAPORE,SINGAPORE,2320.0,2278.0,17.0,0.0074074074074074,2022
Denmark,SPAIN,MADRID,10.0,8.0,1.0,0.1111111111111111,2022
Denmark,SWEDEN,STOCKHOLM,3.0,2.0,1.0,0.3333333333333333,2022
Denmark,THAILAND,BANGKOK,9454.0,7857.0,1144.0,0.1270969892234196,2022
Denmark,TÜRKIYE,ANKARA,5407.0,3526.0,1822.0,0.3406881077038145,2022
Denmark,UNITED ARAB EMIRATES,DUBAI,7254.0,5913.0,1043.0,0.1499424956871765,2022
Denmark,UNITED KINGDOM,LONDON,6955.0,6021.0,264.0,0.0420047732696897,2022
Denmark,USA,"NEW YORK, NY",4419.0,3515.0,121.0,0.0332783278327832,2022
Estonia,AUSTRALIA,CANBERRA,21.0,21.0,0.0,0.0,2022
Estonia,BELARUS,MINSK,3185.0,2932.0,168.0,0.0541935483870967,2022
Estonia,CANADA,OTTAWA,62.0,48.0,13.0,0.2131147540983606,2022
Estonia,CHINA,BEIJING,77.0,66.0,10.0,0.131578947368421,2022
Estonia,EGYPT,CAIRO,406.0,152.0,252.0,0.6237623762376238,2022
Estonia,GEORGIA,TBILISSI,321.0,274.0,47.0,0.146417445482866,2022
Estonia,INDIA,NEW DELHI,1986.0,860.0,1107.0,0.5627859684799187,2022
Estonia,IRELAND,DUBLIN,115.0,72.0,39.0,0.3513513513513513,2022
Estonia,ISRAEL,TEL AVIV,26.0,16.0,10.0,0.3846153846153846,2022
Estonia,JAPAN,TOKYO,18.0,16.0,2.0,0.1111111111111111,2022
Estonia,KAZAKHSTAN,ASTANA,988.0,918.0,60.0,0.0613496932515337,2022
Estonia,RUSSIAN FEDERATION,MOSCOW,6075.0,4473.0,1232.0,0.2159509202453987,2022
Estonia,RUSSIAN FEDERATION,PSKOV,477.0,423.0,30.0,0.0662251655629139,2022
Estonia,RUSSIAN FEDERATION,ST. PETERSBURG,6513.0,6003.0,474.0,0.0731820287169986,2022
Estonia,TÜRKIYE,ANKARA,1517.0,722.0,786.0,0.5212201591511937,2022
Estonia,UKRAINE,KYIV,80.0,60.0,19.0,0.240506329113924,2022
Estonia,UNITED ARAB EMIRATES,ABU DHABI,3.0,2.0,1.0,0.3333333333333333,2022
Estonia,UNITED KINGDOM,LONDON,663.0,500.0,153.0,0.2343032159264931,2022
Estonia,USA,"NEW YORK, NY",321.0,226.0,88.0,0.2802547770700637,2022
Estonia,USA,"SAN FRANCISCO, CA",297.0,249.0,42.0,0.1443298969072164,2022
Finland,ALGERIA,ALGIERS,522.0,308.0,205.0,0.3996101364522417,2022
Finland,ARGENTINA,BUENOS AIRES,1.0,1.0,0.0,0.0,2022
Finland,AUSTRALIA,CANBERRA,120.0,119.0,0.0,0.0,2022
Finland,BULGARIA,SOFIA,163.0,157.0,1.0,0.0063291139240506,2022
Finland,CHILE,SANTIAGO DE CHILE,16.0,6.0,3.0,0.3333333333333333,2022
Finland,CHINA,BEIJING,451.0,386.0,10.0,0.0252525252525252,2022
Finland,CHINA,SHANGHAI,821.0,762.0,23.0,0.0292993630573248,2022
Finland,CYPRUS,NICOSIA,251.0,165.0,80.0,0.3265306122448979,2022
Finland,EGYPT,CAIRO,824.0,583.0,233.0,0.2855392156862745,2022
Finland,ETHIOPIA,ADDIS ABEBA,305.0,237.0,48.0,0.1684210526315789,2022
Finland,GERMANY,BERLIN,4.0,4.0,0.0,0.0,2022
Finland,HONG KONG S.A.R.,HONG KONG,480.0,376.0,97.0,0.2050739957716701,2022
Finland,INDIA,NEW DELHI,7950.0,6297.0,1323.0,0.1736220472440945,2022
Finland,INDONESIA,JAKARTA,1981.0,1768.0,160.0,0.0829875518672199,2022
Finland,IRAN,TEHERAN,1836.0,1177.0,608.0,0.3406162464985994,2022
Finland,IRELAND,DUBLIN,431.0,401.0,33.0,0.076036866359447,2022
Finland,ISRAEL,TEL AVIV,155.0,110.0,13.0,0.1056910569105691,2022
Finland,JAPAN,TOKYO,150.0,118.0,22.0,0.1571428571428571,2022
Finland,KAZAKHSTAN,ASTANA,61.0,47.0,0.0,0.0,2022
Finland,KENYA,NAIROBI,862.0,491.0,355.0,0.4196217494089834,2022
Finland,KOSOVO,PRISTINA,3484.0,30.0,930.0,0.96875,2022
Finland,LITHUANIA,VILNIUS,0.0,0.0,0.0,,2022
Finland,MALAYSIA,KUALA LUMPUR,66.0,50.0,12.0,0.1935483870967742,2022
Finland,MEXICO,MEXICO CITY,28.0,21.0,4.0,0.16,2022
Finland,MOROCCO,RABAT,857.0,378.0,456.0,0.5467625899280576,2022
Finland,MOZAMBIQUE,MAPUTO,153.0,142.0,6.0,0.0405405405405405,2022
Finland,NAMIBIA,WINDHOEK,543.0,489.0,43.0,0.0808270676691729,2022
Finland,NEPAL,KATHMANDU,823.0,561.0,251.0,0.3091133004926108,2022
Finland,NIGERIA,ABUJA,1505.0,632.0,818.0,0.5641379310344827,2022
Finland,PERU,LIMA,27.0,27.0,0.0,0.0,2022
Finland,PHILIPPINES,MANILA,1587.0,1127.0,430.0,0.2761721258831085,2022
Finland,RUSSIAN FEDERATION,MOSCOW,14741.0,11306.0,2928.0,0.2057046508360264,2022
Finland,RUSSIAN FEDERATION,MURMANSK,2627.0,2542.0,47.0,0.0181537273078408,2022
Finland,RUSSIAN FEDERATION,PETROZAVODSK,9972.0,9672.0,70.0,0.007185382878259,2022
