,origin_country,origin_consulate,country,city,latitude,longitude
185,LIBYAN ARAB JAMAHIRIYA,TRIPOLI,LIBYA,TRIPOLI,32.896672,13.1777923
186,MOROCCO,MARRAKECH,MOROCCO,MARRAKECH,31.6258257,-7.9891608
190,MOROCCO,NADOR,MOROCCO,NADOR,35.051739350000005,-2.824650885931628
192,RUSSIAN FEDERATION,SOVETSK,RUSSIAN FEDERATION,SOVETSK,55.0809688,21.8882673
200,AZERBAIJAN,BAKU,AZERBAIJAN,BAKU,40.3754434,49.8326748
206,ECUADOR,QUITO,ECUADOR,QUITO,-0.2201641,-78.5123274
209,MOROCCO,AGADIR,MOROCCO,AGADIR,30.4211144,-9.5830626
210,SURINAME,PARAMARIBO,SURINAME,PARAMARIBO,5.8247628,-55.1703941
218,MADAGASCAR,ANTANANARIVO,MADAGASCAR,ANTANANARIVO,-18.9100122,47.5255809
219,MOROCCO,TETOUAN,MOROCCO,TETOUAN,35.570175,-5.3742776
221,INDIA,CHENNAI,INDIA,CHENNAI,13.0836939,80.270186
230,ARMENIA,YEREVAN,ARMENIA,YEREVAN,40.1776245,44.5126174
232,GABON,LIBREVILLE,GABON,LIBREVILLE,0.390002,9.454001
238,CAPE VERDE,CIDADE DA PRAIA,CAPE VERDE,PRAIA,14.9162811,-23.5095095
239,MALI,BAMAKO,MALI,BAMAKO,12.649319,-8.000337
249,VIET NAM,HANOI,VIET NAM,HANOI,21.0294498,105.8544441
253,GUINEA,CONAKRY,GUINEA,CONAKRY,9.5170602,-13.6998434
262,ECUADOR,GUAYAQUIL,ECUADOR,GUAYAQUIL,-2.1900703,-79.8868702
267,VIET NAM,HO CHI MINH,VIET NAM,HO CHI MINH,10.7758439,106.7017555
275,CAMEROON,YAONDE,CAMEROON,YAOUNDE,3.8689867,11.5213344
280,BURKINA FASO,OUAGADOUGOU,BURKINA FASO,OUAGADOUGOU,12.3681873,-1.5270944
285,CUBA,HAVANA,CUBA,HAVANA,23.135305,-82.3589631
287,MONGOLIA,ULAN BATOR,MONGOLIA,ULAN BATOR,47.94909925,107.02225913456641
289,UKRAINE,MARIUPOL,UKRAINE,MARIUPOL,47.0957648,37.5499621
291,USA,"WASHINGTON, DC",USA,"WASHINGTON, DC",38.8950368,-77.0365427
294,OMAN,MUSCAT,OMAN,MUSCAT,23.61515,58.5912467
295,CHINA,SHENYANG,CHINA,SHENYANG,41.6749893,123.458674
301,CAMEROON,DOUALA,CAMEROON,DOUALA,4.0429408,9.706203
302,BAHRAIN,MANAMA,BAHRAIN,MANAMA,26.2235041,50.5822436
309,BENIN,COTONOU,BENIN,COTONOU,6.3676953,2.4252507
316,EQUATORIAL GUINEA,MALABO,EQUATORIAL GUINEA,MALABO,3.752828,8.780061
320,JORDAN,AMMAN,JORDAN,AMMAN,31.9515694,35.9239625
322,KYRGYZSTAN,BISHKEK,KYRGYZSTAN,BISHKEK,42.8765615,74.6070079
326,CONGO,BRAZZAVILLE,CONGO,BRAZZAVILLE,-4.2694407,15.2712256
329,PAKISTAN,ISLAMABAD,PAKISTAN,ISLAMABAD,33.6938118,73.0651511
335,MOZAMBIQUE,MAPUTO,MOZAMBIQUE,MAPUTO,-25.966213,32.56745
336,INDIA,KOLKATA,INDIA,KOLKATA,22.5414185,88.35769124388872
339,INDIA,PONDICHERY,INDIA,PONDICHERY,11.9340568,79.8306447
348,NIGERIA,ABUJA,NIGERIA,ABUJA,9.0643305,7.4892974
355,PAKISTAN,KARACHI,PAKISTAN,KARACHI,24.8546842,67.0207055
357,UZBEKISTAN,TASHKENT,UZBEKISTAN,TASHKENT,41.3123363,69.2787079
365,SRI LANKA,COLOMBO,SRI LANKA,COLOMBO,6.9387469,79.8541134
366,SINGAPORE,SINGAPORE,SINGAPORE,SINGAPORE,1.357107,103.8194992
370,GHANA,ACCRA,GHANA,ACCRA,5.5571096,-0.2012376
374,MAURITANIA,NOUAKCHOTT,MAURITANIA,NOUAKCHOTT,18.062922200000003,-15.962904570040749
380,TOGO,LOME,TOGO,LOME,6.130419,1.215829
387,UKRAINE,DONETSK,UKRAINE,DONETSK,48.0158753,37.8013407
391,IRAQ,BAGDAD,IRAQ,BAGDAD,33.3024309,44.3787992
392,IRAQ,ERBIL,IRAQ,ERBIL,36.1911624,44.0094652
398,HAITI,PORT AU PRINCE,HAITI,PORT AU PRINCE,18.547327,-72.3395928
400,CHAD,N'DJAMENA,CHAD,N'DJAMENA,12.1191543,15.0502758
406,RWANDA,KIGALI,RWANDA,KIGALI,-1.950851,30.061507
408,NAMIBIA,WINDHOEK,NAMIBIA,WINDHOEK,-22.5743922,17.0790688
412,NIGER,NIAMEY,NIGER,NIAMEY,13.524834,2.109823
422,EQUATORIAL GUINEA,BATA,EQUATORIAL GUINEA,BATA,1.8650897,9.768665
425,CONGO,POINTE NOIRE,CONGO,POINTE NOIRE,-4.7975373,11.8503297
432,UNITED KINGDOM,EDINBURGH,UNITED KINGDOM,EDINBURGH,55.9533456,-3.1883749
439,KENYA,NAIROBI,KENYA,NAIROBI,-1.2832533,36.8172449
440,ANGOLA,BENGUELA,ANGOLA,BENGUELA,-12.9104657,14.0356608
441,CAMBODIA,PHNOM PENH,CAMBODIA,PHNOM PENH,11.568271,104.9224426
446,BOLIVIA,LA PAZ,BOLIVIA,LA PAZ,-16.4955455,-68.1336229
452,BOLIVIA,SANTA CRUZ DE LA SIERRA,BOLIVIA,SANTA CRUZ DE LA SIERRA,-17.7834936,-63.1820853
462,FORMER YUGOSLAV REPUBLIC OF MACEDONIA,SKOPJE,MACEDONIA,SKOPJE,41.9960924,21.4316495
463,"MOLDOVA, REPUBLIC OF",CHISINAU,"MOLDOVA, REPUBLIC OF",CHISINAU,47.0273122,28.82633975941325
469,TURKMENISTAN,ASHGABAT,TURKMENISTAN,ASHGABAT,37.9404648,58.3823487
470,BANGLADESH,DHAKA,BANGLADESH,DHAKA,23.7861979,90.4026151
474,YEMEN,SANA'A,YEMEN,SANA'A,15.35,44.2
485,USA,"NEW YORK, NY",USA,"NEW YORK, NY",40.7127281,-74.0060152
494,NEPAL,KATHMANDU,NEPAL,KATHMANDU,27.708317,85.3205817
501,CHINA,CHONGQING,CHINA,CHONGQING,29.5647398,106.5478767
508,ETHIOPIA,ADDIS ABEBA,ETHIOPIA,ADDIS ABEBA,9.0107934,38.7612525
510,USA,"SAN FRANCISCO, CA",USA,"SAN FRANCISCO, CA",37.7790262,-122.419906
517,TAJIKISTAN,DUSHANBE,TAJIKISTAN,DUSHANBE,38.5425835,68.81521423589763
519,PALESTINE,RAMALLAH,PALESTINE,RAMALLAH,31.9030543,35.1952255
521,USA,"MIAMI, FL",USA,"MIAMI, FL",25.7741728,-80.19362
527,GUINEA-BISSAU,BISSAU,GUINEA-BISSAU,BISSAU,11.861324,-15.583055
528,EGYPT,ALEXANDRIA,EGYPT,ALEXANDRIA,31.199004,29.894378
529,UGANDA,KAMPALA,UGANDA,KAMPALA,0.3177137,32.5813539
530,CENTRAL AFRICAN REPUBLIC,BANGUI,CENTRAL AFRICAN REPUBLIC,BANGUI,4.3907153,18.5509126
535,CANADA,MONTREAL,CANADA,MONTREAL,45.5031824,-73.5698065
558,BURUNDI,BUJUMBURA,BURUNDI,BUJUMBURA,-3.3638125,29.3675028
566,DJIBOUTI,DJIBOUTI,DJIBOUTI,DJIBOUTI,11.8145966,42.8453061
576,HONG KONG S.A.R.,HONG KONG,HONG KONG,HONG KONG,22.2793278,114.1628131
580,USA,"CHICAGO, IL",USA,"CHICAGO, IL",41.8755616,-87.6244212
587,COMOROS,MORONI,COMOROS,MORONI,-11.6931255,43.2543044
606,ISRAEL,JERUSALEM,ISRAEL,JERUSALEM,31.79592425,35.21198075969497
609,MYANMAR,YANGON,MYANMAR,YANGON,16.7967129,96.1609916
612,"TANZANIA, UNITED REPUBLIC OF",DAR ES SALAAM,TANZANIA,DAR ES SALAAM,-6.8160837,39.2803583
628,USA,"HOUSTON, TX",USA,"HOUSTON, TX",29.7589382,-95.3676974
629,SAO TOME AND PRINCIPE,SAO TOME ,SAO TOME AND PRINCIPE,SAO TOME ,0.3389242,6.7313031
634,AFGHANISTAN,KABUL,AFGHANISTAN,KABUL,34.5260109,69.1776838
635,TRINIDAD AND TOBAGO,PORT OF SPAIN,TRINIDAD AND TOBAGO,PORT OF SPAIN,10.6572678,-61.5180173
637,ZAMBIA,LUSAKA,ZAMBIA,LUSAKA,-15.4164488,28.2821535
659,INDIA,GOA,INDIA,GOA,15.3503192,74.10178169795284
672,CYPRUS,NICOSIA,CYPRUS,NICOSIA,35.1748976,33.3638568
674,USA,"LOS ANGELES, CA",USA,"LOS ANGELES, CA",34.0536909,-118.242766
675,JAPAN,TOKYO,JAPAN,TOKYO,35.6828387,139.7594549
686,ERITREA,ASMARA,ERITREA,ASMARA,15.3389667,38.9326763
687,USA,"BOSTON, MA",USA,"BOSTON, MA",42.3602534,-71.0582912
690,RUSSIAN FEDERATION,IRKUTSK,RUSSIAN FEDERATION,IRKUTSK,56.6370122,104.719221
692,IRELAND,DUBLIN,IRELAND,DUBLIN,53.3497645,-6.2602732
704,SUDAN,KHARTOUM,SUDAN,KHARTOUM,15.5635972,32.5349123
706,LAO PEOPLE'S DEMOCRATIC REPUBLIC,VIENTIANE,LAO PEOPLE'S DEMOCRATIC REPUBLIC,VIENTIANE,17.9640988,102.6133707
708,CANADA,VANCOUVER,CANADA,VANCOUVER,49.2608724,-123.113952
718,COTE D'IVOIRE,ABIDJAN,COTE D'IVOIRE,ABIDJAN,5.320357,-4.016107
724,CANADA,TORONTO,CANADA,TORONTO,43.6534817,-79.3839347
726,AUSTRALIA,CANBERRA,AUSTRALIA,CANBERRA,-35.2975906,149.1012676
734,"CONGO, THE DEMOCRATIC REPUBLIC OF THE",LUBUMBASHI,DEMOCRATIC REPUBLIC OF THE CONGO,LUBUMBASHI,-11.6642316,27.4826264
735,JAMAICA,KINGSTON,JAMAICA,KINGSTON,17.9712148,-76.7928128
739,SERBIA,BELGRAD,SERBIA,BELGRAD,44.8178131,20.4568974
748,BOTSWANA,GABORONE,BOTSWANA,GABORONE,-24.6581357,25.9088474
763,ZIMBABWE,HARARE,ZIMBABWE,HARARE,-17.831773,31.045686
816,CANADA,OTTAWA,CANADA,OTTAWA,45.4211435,-75.6900574
842,MALAWI,LILONGWE,MALAWI,LILONGWE,-13.9875107,33.768144
843,MALAYSIA,KUALA LUMPUR,MALAYSIA,KUALA LUMPUR,3.1516964,101.6942371
845,USA,"PHILADELPHIA, PA",USA,"PHILADELPHIA, PA",39.9527237,-75.1635262
847,USA,"ATLANTA, GA",USA,"ATLANTA, GA",33.7489924,-84.3902644
861,SAINT LUCIA,CASTRIES,SAINT LUCIA,CASTRIES,13.90904385,-60.97792414113452
872,UNITED KINGDOM,MANCHESTER,UNITED KINGDOM,MANCHESTER,53.4794892,-2.2451148
885,FIJI,SUVA,FIJI,SUVA,-18.1415884,178.4421662
937,MOZAMBIQUE,BEIRA,MOZAMBIQUE,BEIRA,-19.828707,34.841782
950,AUSTRALIA,SYDNEY,AUSTRALIA,SYDNEY,-33.8698439,151.2082848
951,PANAMA,PANAMA CITY,PANAMA,PANAMA CITY,30.1600827,-85.6545729
956,BULGARIA,SOFIA,BULGARIA,SOFIA,42.6978634,23.3221789
964,BULGARIA,PLOVDIV,BULGARIA,PLOVDIV,42.1418541,24.7499297
966,USA,"DETROIT, MI",USA,"DETROIT, MI",42.3315509,-83.0466403
973,ROMANIA,BUCHAREST,ROMANIA,BUCHAREST,44.4361414,26.1027202
974,TIMOR-LESTE,DILI,TIMOR-LESTE,DILI,-8.5536809,125.5784093
977,AUSTRALIA,MELBOURNE,AUSTRALIA,MELBOURNE,-37.8142176,144.9631608
985,ISRAEL,TEL AVIV,ISRAEL,TEL AVIV,32.0852997,34.7818064
1012,SAN MARINO,SAN MARINO,SAN MARINO,SAN MARINO,43.9458623,12.458306
1017,UKRAINE,SEVASTOPOL,UKRAINE,SEVASTOPOL,44.6054434,33.5220842
1033,JAPAN,OSAKA,JAPAN,OSAKA,34.6198813,135.490357
1060,MACAO,MACAO,MACAO,MACAO,39.5619384,-8.020296181341694
1067,MONTENEGRO,PODGORICA,MONTENEGRO,PODGORICA,42.4415238,19.2621081
1071,CHILE,SANTIAGO DE CHILE,CHILE,SANTIAGO DE CHILE,-33.4377756,-70.6504502
1075,MEXICO,MEXICO CITY,MEXICO,MEXICO CITY,19.4326296,-99.1331785
1080,"KOREA, REPUBLIC OF",SEOUL,SOUTH KOREA,SEOUL,37.5666791,126.9782914
1081,ARGENTINA,BUENOS AIRES,ARGENTINA,BUENOS AIRES,-34.6075682,-58.4370894
1082,PAPUA NEW GUINEA,PORT MORESBY,PAPUA NEW GUINEA,PORT MORESBY,-9.4743301,147.1599504
1089,ALBANIA,TIRANA,ALBANIA,TIRANA,41.3281482,19.8184435
1120,VENEZUELA,CARACAS,VENEZUELA,CARACAS,10.506098,-66.9146017
1122,"TAIWAN, PROVINCE OF CHINA",TAIPEI,TAIWAN,TAIPEI,25.0375198,121.5636796
1134,NEW ZEALAND,WELLINGTON,NEW ZEALAND,WELLINGTON,-41.2887953,174.7772114
1168,BRAZIL,SAO PAULO,BRAZIL,SAO PAULO,-23.5506507,-46.6333824
1174,MAURITIUS,PORT LOUIS,MAURITIUS,PORT LOUIS,-20.1624522,57.5028044
1179,DENMARK,COPENHAGEN,DENMARK,COPENHAGEN,55.6867243,12.5700724
1186,CROATIA,ZAGREB,CROATIA,ZAGREB,45.8131847,15.9771774
1189,SWEDEN,STOCKHOLM,SWEDEN,STOCKHOLM,59.3251172,18.0710935
1206,AUSTRALIA,PERTH,AUSTRALIA,PERTH,-31.9558964,115.8605801
1214,SYRIAN ARAB REPUBLIC,DAMASCUS,SYRIAN ARAB REPUBLIC,DAMASCUS,33.5130695,36.3095814
1220,USA,"NEWARK, NJ",USA,"NEWARK, NJ",40.735657,-74.1723667
1222,"KOREA, DEMOCRATIC PEOPLE'S REPUBLIC OF",PYONGYANG,NORTH KOREA,PYONGYANG,39.0167979,125.7473609
1236,BOSNIA AND HERZEGOVINA,SARAJEVO,BOSNIA AND HERZEGOVINA,SARAJEVO,43.8519774,18.3866868
1245,AUSTRALIA,BRISBANE,AUSTRALIA,BRISBANE,-27.4689682,153.0234991
1264,COSTA RICA,SAN JOSE,COSTA RICA,SAN JOSE,9.9325427,-84.0795782
1268,BRAZIL,RIO DE JANEIRO,BRAZIL,RIO DE JANEIRO,-22.9110137,-43.2093727
1276,GUATEMALA,GUATEMALA CITY,GUATEMALA,GUATEMALA CITY,14.6222328,-90.5185188
1281,VANUATU,PORT VILA,VANUATU,PORT VILA,-17.7414972,168.3150163
1283,PUERTO RICO,SAN JUAN,PUERTO RICO,SAN JUAN,18.465299,-66.116666
1284,SEYCHELLES,VICTORIA,SEYCHELLES,VICTORIA,-4.6232085,55.452359
1293,NETHERLANDS,WILLEMSTAD (CURACAO),NETHERLANDS,WILLEMSTAD (CURACAO),12.1066695,-68.9351307
1294,ANDORRA,ANDORRA LA VELLA,ANDORRA,ANDORRA LA VELLA,42.5069391,1.5212467
1298,NETHERLANDS,THE HAGUE,NETHERLANDS,THE HAGUE,52.0799838,4.3113461
1307,BRUNEI,BANDAR SERI BEGWAN,BRUNEI,BANDAR SERI BEGAWAN,4.8895453,114.9417574
1308,BRAZIL,BRASILIA,BRAZIL,BRASILIA,-10.3333333,-53.2
1312,GERMANY,MUNICH,GERMANY,MUNICH,48.1371079,11.5753822
1313,SLOVAKIA,BRATISLAVA,SLOVAKIA,BRATISLAVA,48.1516988,17.1093063
1325,GERMANY,BERLIN,GERMANY,BERLIN,52.5170365,13.3888599
1355,MALTA,VALETTA,MALTA,VALETTA,35.8989818,14.5136759
1357,FRANCE,PARIS,FRANCE,PARIS,48.8588897,2.3200410217200766
1359,NETHERLANDS,ARUBA,NETHERLANDS,ARUBA,12.51756625,-69.98186415210564
1366,COMOROS,MUTSAMUDU,COMOROS,MUTSAMUDU,-12.168846,44.3942831
1369,FORMER YUGOSLAV REPUBLIC OF MACEDONIA,BITOLA,MACEDONIA,BITOLA,41.0316005,21.3302511
1370,MEXICO,GUADALAJARA,MEXICO,GUADALAJARA,20.6720375,-103.338396
1371,AUSTRALIA,ADELAIDE,AUSTRALIA,ADELAIDE,-34.9281805,138.5999312
1376,ALBANIA,VLORE,ALBANIA,VLORE,40.4707602,19.4912716
1391,USA,"TAMPA, FL",USA,"TAMPA, FL",27.9477595,-82.458444
1402,ICELAND,REYKJAVIK,ICELAND,REYKJAVIK,64.145981,-21.9422367
1404,SOUTH SUDAN,JUBA,SOUTH SUDAN,JUBA,4.8472017,31.5951655
1411,USA,"NEW BEDFORD, MA",USA,"NEW BEDFORD, MA",41.6362152,-70.934205
1412,SLOVENIA,LJUBLJANA,SLOVENIA,LJUBLJANA,46.0500268,14.5069289
1420,BHUTAN,THIMPHU,BHUTAN,THIMPHU,27.4713546,89.6336729
1428,NICARAGUA,MANAGUA,NICARAGUA,MANAGUA,12.1459907,-86.2746665
1430,URUGUAY,MONTEVIDEO,URUGUAY,MONTEVIDEO,-34.9058916,-56.1913095
1432,BELGIUM,BRUSSELS,BELGIUM,BRUSSELS,50.8465573,4.351697
1435,BRAZIL,SALVADOR DE BAHIA,BRAZIL,SALVADOR DE BAHIA,-12.9822499,-38.4812772
1438,LUXEMBOURG,LUXEMBURG,LUXEMBOURG,LUXEMBURG,49.8158683,6.1296751
1466,PORTUGAL,LISBON,PORTUGAL,LISBON,38.7077507,-9.1365919
1473,EL SALVADOR,SAN SALVADOR,EL SALVADOR,SAN SALVADOR,13.6989939,-89.1914249
1474,GERMANY,FRANKFURT/MAIN,GERMANY,FRANKFURT/MAIN,50.0537437,8.6371136
1479,NORWAY,OSLO,NORWAY,OSLO,59.9133301,10.7389701
1482,AUSTRIA,VIENNA,AUSTRIA,VIENNA,48.2083537,16.3725042
1489,BRAZIL,RECIFE,BRAZIL,RECIFE,-8.0584933,-34.8848193
1490,SWITZERLAND,BERN,SWITZERLAND,BERN,46.9482713,7.4514512
1492,MEXICO,MONTERREY,MEXICO,MONTERREY,25.6802019,-100.315258
1493,SWITZERLAND,GENEVA,SWITZERLAND,GENEVA,46.2017559,6.1466014
1495,SERBIA,SUBOTICA,SERBIA,SUBOTICA,46.1002058,19.6653273
1503,GERMANY,STUTTGART,GERMANY,STUTTGART,48.7784485,9.1800132
1514,ITALY,ROME,ITALY,ROME,41.8933203,12.4829321
1516,GREECE,ATHENS,GREECE,ATHENS,37.9839412,23.7283052
1530,BRAZIL,CURITIBA,BRAZIL,CURITIBA,-25.4295963,-49.2712724
1533,ARGENTINA,CORDOBA,ARGENTINA,CORDOBA,-31.4173391,-64.183319
1543,SPAIN,MADRID,SPAIN,MADRID,40.4167047,-3.7035825
1552,BRAZIL,PORTO ALEGRE,BRAZIL,PORTO ALEGRE,-30.0324999,-51.2303767
1553,PARAGUAY,ASUNCION,PARAGUAY,ASUNCION,-25.2800459,-57.6343814
1567,NETHERLANDS,AMSTERDAM,NETHERLANDS,AMSTERDAM,52.3727598,4.8936041
1568,FINLAND,HELSINKI,FINLAND,HELSINKI,60.1674881,24.9427473
1582,HONDURAS,TEGUCIGALPA,HONDURAS,TEGUCIGALPA,14.1057433,-87.2040052
1605,BRAZIL,BELO HORIZONTE,BRAZIL,BELO HORIZONTE,-19.9227318,-43.9450948
1610,ITALY,MILAN,ITALY,MILAN,45.4641943,9.1896346
1611,GERMANY,FLENSBURG,GERMANY,FLENSBURG,54.7833021,9.4333264
1616,ARGENTINA,ROSARIO (Santa Fé),ARGENTINA,ROSARIO (Santa Fé),-32.9595004,-60.6615415
1626,ALBANIA,KORCE,ALBANIA,KORCE,40.61788765,20.778459264467827
1638,VENEZUELA,VALENCIA,VENEZUELA,VALENCIA,10.170026,-68.0003987
1641,POLAND,WARSAW,POLAND,WARSAW,52.2319581,21.0067249
1642,SWITZERLAND,ZURICH,SWITZERLAND,ZURICH,47.3744489,8.5410422
1656,VENEZUELA,MARACAIBO,VENEZUELA,MARACAIBO,10.6498095,-71.6443596
1662,GERMANY,DUSSELDORF,GERMANY,DUSSELDORF,51.2254018,6.7763137
1675,LATVIA,RIGA,LATVIA,RIGA,56.9493977,24.1051846
1678,USA,"CLEVELAND, OH",USA,"CLEVELAND, OH",41.4996562,-81.6936813
1688,CZECH REPUBLIC,PRAGUE,CZECH REPUBLIC,PRAGUE,50.0874654,14.4212535
1696,LIBERIA,MONROVIA,LIBERIA,MONROVIA,6.328034,-10.797788
1711,ARGENTINA,BAHIA BLANCA,ARGENTINA,BAHIA BLANCA,-38.7176522,-62.2654871
1720,ESTONIA,TALLINN,ESTONIA,TALLINN,59.4372155,24.7453688
1761,SPAIN,BARCELONA,SPAIN,BARCELONA,41.3828939,2.1774322
1776,ARGENTINA,MENDOZA,ARGENTINA,MENDOZA,-34.787093049999996,-68.43818677312292
1781,LITHUANIA,VILNIUS,LITHUANIA,VILNIUS,54.6870458,25.2829111
1783,MONACO,MONACO,MONACO,MONACO,43.73844905,7.424224092532953
1791,HOLY SEE (VATICAN CITY STATE),VATICAN CITY,VATICAN,VATICAN CITY,41.903411,12.4528527
1793,SWITZERLAND,LUGANO,SWITZERLAND,LUGANO,46.0050102,8.9520281
1795,HUNGARY,BUDAPEST,HUNGARY,BUDAPEST,47.4979937,19.0403594
