,origin_country,origin_consulate,country,city,latitude,longitude
0,ALBANIA,TIRANA,ALBANIA,TIRANA,41.330488599999995,19.82556898393491
1,ALGERIA,ALGIERS,ALGERIA,ALGIERS,36.7753606,3.0601882
2,ARGENTINA,BUENOS AIRES,ARGENTINA,BUENOS AIRES,-34.6075682,-58.4370894
3,AUSTRALIA,CANBERRA,AUSTRALIA,CANBERRA,-35.2975906,149.1012676
4,AZERBAIJAN,BAKU,AZERBAIJAN,BAKU,40.3755885,49.8328009
5,BOSNIA AND HERZEGOVINA,SARAJEVO,BOSNIA AND HERZEGOVINA,SARAJEVO,43.8519774,18.3866868
6,BRAZIL,BRASILIA,BRAZIL,BRASILIA,-10.3333333,-53.2
7,BULGARIA,SOFIA,BULGARIA,SOFIA,42.6977028,23.3217359
8,CANADA,OTTAWA,CANADA,OTTAWA,45.4208777,-75.6901106
9,CHILE,SANTIAGO DE CHILE,CHILE,SANTIAGO DE CHILE,-33.4377756,-70.6504502
10,CHINA,BEIJING,CHINA,BEIJING,39.906217,116.3912757
11,CHINA,SHANGHAI,CHINA,SHANGHAI,31.2323437,121.4691024
12,COLOMBIA,BOGOTA,COLOMBIA,BOGOTA,4.6529539,-74.0835643
13,CROATIA,ZAGREB,CROATIA,ZAGREB,45.84264135,15.962231476593626
14,CUBA,HAVANA,CUBA,HAVANA,23.135305,-82.3589631
15,CYPRUS,NICOSIA,CYPRUS,NICOSIA,35.1748976,33.3638568
16,EGYPT,CAIRO,EGYPT,CAIRO,30.0443879,31.2357257
17,ETHIOPIA,ADDIS ABEBA,ETHIOPIA,ADDIS ABEBA,9.0107934,38.7612525
18,GEORGIA,TBILISSI,GEORGIA,TBILISSI,41.6934591,44.8014495
19,GERMANY,MUNICH,GERMANY,MUNICH,48.1371079,11.5753822
20,HONG KONG S.A.R.,HONG KONG,HONG KONG,HONG KONG,22.2793278,114.1628131
21,INDIA,NEW DELHI,INDIA,NEW DELHI,28.6138954,77.2090057
22,INDONESIA,JAKARTA,INDONESIA,JAKARTA,-6.175247,106.8270488
23,IRAN,TEHERAN,IRAN,TEHERAN,35.6892523,51.3896004
24,IRELAND,DUBLIN,IRELAND,DUBLIN,53.3498006,-6.2602964
25,ISRAEL,TEL AVIV,ISRAEL,TEL AVIV,32.0852997,34.7818064
26,JAPAN,TOKYO,JAPAN,TOKYO,35.6812665,139.757653
27,JORDAN,AMMAN,JORDAN,AMMAN,31.9515694,35.9239625
28,KAZAKHSTAN,ASTANA,KAZAKHSTAN,ASTANA,51.1282205,71.4306682
29,KENYA,NAIROBI,KENYA,NAIROBI,-1.2832533,36.8172449
30,KUWAIT,KUWAIT,KUWAIT,KUWAIT,29.2733964,47.4979476
31,LEBANON,BEIRUT,LEBANON,BEIRUT,33.88922645,35.50255852895232
32,MALAYSIA,KUALA LUMPUR,MALAYSIA,KUALA LUMPUR,3.1516964,101.6942371
33,MEXICO,MEXICO CITY,MEXICO,MEXICO CITY,19.4326296,-99.1331785
34,MOROCCO,RABAT,MOROCCO,RABAT,34.02236,-6.8340222
